,Indonesia (IDR),Malaysia (MYR),Thailand (THB),Filipina (PHP)
Ticker,IDRUSD=X,MYRUSD=X,THBUSD=X,PHPUSD=X
Date,,,,
2003-01-07,0.00011204482143511996,,,
2003-01-08,0.00011198208085261285,,,
2003-01-09,0.00011195074330316857,,,
2003-01-10,0.00011213905236218125,,,
2003-01-13,0.00011261261533945799,,,
2003-01-14,0.00011270780669292435,,,
2003-01-15,0.00011280315811745822,,,
2003-01-16,0.00011286681547062472,,,
2003-01-17,0.00011273957352386788,,,
2003-01-20,0.00011267605441389605,,,
2003-01-21,0.00011261261533945799,,,
2003-01-22,0.00011293054558336735,,,
2003-01-23,0.00011253024422330782,,,
2003-01-24,0.0001124543123296462,,,
2003-01-27,0.0001124543123296462,,,
2003-01-28,0.00011293054558336735,,,
2003-01-29,0.00011299434845568612,,,
2003-01-30,0.00011273957352386788,,,
2003-01-31,0.00011273957352386788,,,
2003-02-03,0.00011266336514381692,,,
2003-02-04,0.00011273957352386788,,,
2003-02-05,0.00011277771409368142,,,
2003-02-06,0.00011275228462181985,,,
2003-02-07,0.00011275863653281704,,,
2003-02-10,0.00011280315811745822,,,
2003-02-11,0.00011154489766340703,,,
2003-02-13,0.00011179429566254839,,,
2003-02-14,0.00011210762022528797,,,
2003-02-17,0.00011229646042920649,,,
2003-02-18,0.0001126443239627406,,,
2003-02-19,0.00011261261533945799,,,
2003-02-20,0.00011305822408758104,,,
2003-02-21,0.00011216420534765348,,,
2003-02-24,0.0001124227128457278,,,
2003-02-25,0.00011251758405705914,,,
2003-02-26,0.00011251758405705914,,,
2003-02-27,0.00011239112063776702,,,
2003-02-28,0.0001125682465499267,,,
2003-03-03,0.0001125682465499267,,,
2003-03-04,0.00011325028026476502,,,
2003-03-05,0.00011305822408758104,,,
2003-03-06,0.00011279043246759102,,,
2003-03-07,0.00011254924174863845,,,
2003-03-10,0.00011257458390900865,,,
2003-03-11,0.00011258091399213299,,,
2003-03-12,0.0001124543123296462,,,
2003-03-13,0.00011229646042920649,,,
2003-03-14,0.00011213905236218125,,,
2003-03-17,0.00011148271732963622,,,
2003-03-18,0.00011061946861445904,,,
2003-03-19,0.00011004126281477511,,,
2003-03-20,0.00011086474842159078,,,
2003-03-21,0.00011145165626658127,,,
2003-03-24,0.00011173184611834586,,,
2003-03-25,0.00011170063953613862,,,
2003-03-26,0.00011217049905098975,,,
2003-03-27,0.00011235955025767908,,,
2003-03-28,0.00011220196029171348,,,
2003-03-31,0.00011234061821596697,,,
2003-04-01,0.00011254924174863845,,,
2003-04-02,0.00011256190919084474,,,
2003-04-03,0.00011242902837693691,,,
2003-04-04,0.0001124543123296462,,,
2003-04-07,0.00011256190919084474,,,
2003-04-08,0.0001126443239627406,,,
2003-04-09,0.00011280952458037063,,,
2003-04-10,0.00011295606236672029,,,
2003-04-11,0.0001126443239627406,,,
2003-04-14,0.00011293692659819499,,,
2003-04-15,0.00011309018736938015,,,
2003-04-16,0.0001135395941673778,,,
2003-04-17,0.00011461318354122341,,,
2003-04-21,0.0001152073746197857,,,
2003-04-22,0.00011441647802712396,,,
2003-04-23,0.00011396011541364715,,,
2003-04-24,0.0001145803471445106,,,
2003-04-25,0.00011441647802712396,,,
2003-04-28,0.0001144426641985774,,,
2003-04-29,0.00011484352580737323,,,
2003-05-01,0.00011527377500897273,,,
2003-12-01,0.00011766920215450227,0.26337969303131104,0.025068940594792366,0.018027761951088905
2003-12-02,0.00011783976515289396,0.26335886120796204,0.025094732642173767,0.018027761951088905
2003-12-03,0.00011809302668552846,0.2638383209705353,0.025121210142970085,0.018027761951088905
2003-12-04,0.00011775095481425524,0.26324793696403503,0.025081515312194824,0.018175208941102028
2003-12-05,0.00011807630653493106,0.2638801038265228,0.0251174233853817,0.018099548295140266
2003-12-08,0.00011774818267440423,0.2633311450481415,0.025118684396147728,0.018175208941102028
2003-12-09,0.00011800385254900903,0.26368528604507446,0.02522004395723343,0.018175208941102028
